2024-09-10 오후 7:16:09,27.00,78.00
2024-09-10 오후 7:16:11,27.00,81.00
2024-09-10 오후 7:16:13,27.00,83.00
2024-09-10 오후 7:16:15,27.00,83.00
2024-09-10 오후 7:16:17,27.00,82.00
2024-09-10 오후 7:16:19,27.00,80.00
2024-09-10 오후 7:16:21,27.00,78.00
2024-09-10 오후 7:16:23,27.00,76.00
2024-09-10 오후 7:16:25,27.00,76.56
2024-09-10 오후 7:16:27,27.00,73.00
2024-09-10 오후 7:16:30,27.00,73.56
2024-09-10 오후 7:16:32,27.00,71.00
2024-09-10 오후 7:16:34,27.00,71.56
2024-09-10 오후 7:16:36,27.00,68.00
2024-09-10 오후 7:16:38,25.60,0.00
2024-09-10 오후 7:16:38,358.65,512.00
2024-09-10 오후 7:16:40,27.00,64.00
2024-09-10 오후 7:16:42,27.00,62.00
2024-09-10 오후 7:16:44,27.00,61.00
2024-09-10 오후 7:16:46,27.00,59.00
2024-09-10 오후 7:16:48,27.00,58.00
2024-09-10 오후 7:16:50,27.00,57.00
2024-09-10 오후 7:16:52,27.00,57.00
2024-09-10 오후 7:16:54,27.00,58.56
2024-09-10 오후 7:16:56,27.00,55.00
2024-09-10 오후 7:16:58,27.00,55.00
2024-09-10 오후 7:17:00,27.00,54.00
2024-09-10 오후 7:17:02,27.00,54.00
2024-09-10 오후 7:17:05,27.00,53.00
2024-09-10 오후 7:17:07,27.00,53.00
2024-09-10 오후 7:17:09,27.00,53.00
2024-09-10 오후 7:17:11,27.00,53.00
2024-09-10 오후 7:17:13,27.00,52.00
2024-09-10 오후 7:17:15,27.00,52.00
2024-09-10 오후 7:17:17,27.00,52.00
